Title (internal),URL,Application,Activity,Task,Action,Feedback,Feedforward,∫Handedness,Multi-action,XR,Interface_Element,Interaction_Technique,,,,,
Detective VR Tape Collection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/dca57433-4a87-413d-2b1f-5391dbccba00/public,Detective VR Demo,,Manipulation,"Controller Pose, Grip Button","Haptic Bump, Audio",,,,,Object,Grab and Place,,,,,
Detective VR Time Interface,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/edf1a48e-1c11-4e9c-49ce-154b4e6f9800/public,Detective VR Demo,,Manipulation,"Controller Pose, Physical Press","Haptic Bump, Audio",,,,,Button,Button Selection,,,,,
Artemis VR Toggle Switch ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/883ae359-d17d-4b6c-d565-3b9f194f6a00/public,Artemis VR Demo,,Manipulation,"Controller Pose, Trigger","Highlighting, Audio",,,,,Lever,Object Manipulation,,,,,
Artemis VR Knob Turn,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ee43db19-5c81-48b0-d1cd-52eba46c7c00/public,Artemis VR Demo,,Manipulation,"Controller Pose, Trigger","Highlighting, Audio",,,,,Knob,Object Manipulation,,,,,
Artemis VR Slider Move,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b0ecee5e-2cbe-4cfc-9c83-8854a9dc7400/public,Artemis VR Demo,,Manipulation,"Controller Pose, Trigger","Highlighting, Audio",,,,,Slider,Object Manipulation,,,,,
Tennis Serve (Hand Toss),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b0856992-7b8a-463a-0c02-28bbcd378100/public,Tennis Esports,,Manipulation,"Controller Pose, Movement (Both hands)",Audio,,,,,Object,Object Manipulation,,,,,
Tennis Backhand Swing,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8df0809e-f71a-4521-2968-075ce7c41000/public,Tennis Esports,,Manipulation,"Controller Pose, Movement",Audio,,,,,Object,Object Manipulation,,,,,
Tennis Forehand Swing,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6daa4000-7d54-4157-9b38-c93497040a00/public,Tennis Esports,,Manipulation,"Controller Pose, Movement",Audio,,,,,Object,Object Manipulation,,,,,
Tennis Match Select Scroll,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6daa4000-7d54-4157-9b38-c93497040a00/public,Tennis Esports,,Selection,Thumbstick,,,,,,List,Button Selection,,,,,
Tennis Serve (Stick),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/efd49bbc-4f4e-4282-374c-14d0f99b3600/public,Tennis Esports,,Manipulation,"Controller Pose, Movement (dominant hand)",Audio,,,,,Object,Object Manupulation,,,,,
Ironstrike Dash,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4e118804-9dfc-45ea-ff99-ac496ff84700/public,Ironstrike,,Navigation,Thumbstick (right),Audio,,,,,,,,,,,
Ironstrike Dialogue Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/068084ed-5d5a-433f-f7e5-7269a6ad2800/public,Ironstrike,,Selection,"Controller Pose, Trigger",,,,,,Button,Button Selection,,,,,
Ironstrike Weapon Select ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f00b9e8d-193a-4953-033e-4e40f33a8a00/public,Ironstrike,,Selection,"Controller Pose, Grip Button",Audio,,,,,Object,Button Selection,,,,,
Ironstrike Run,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/27f58ed9-c141-452b-71b5-2897cdb7d600/public,Ironstrike,,Navigation,Thumbstick (left),,,,,,,,,,,,
Ironstrike Attack Series (Sword + Shield),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/0ff36b01-ddb1-44a8-51a9-9eb3fcc87600/public,Ironstrike,,Manipulation,"Movement, Grip Button",Audio,,,,,Object,Object Manupulation,,,,,
Ironstrike Block (Shield),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7dadde04-eebe-4def-f9f7-901fa0459000/public,Ironstrike,,Manipulation,"Movement, Grip Button",Audio,,,,,Object,Object Manupulation,,,,,
Ironstrike Attack (Sword),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/bd1cf8be-fd78-47c2-95ac-59b60e14d100/public,Ironstrike,,Manipulation,"Movement, Grip Button",Audio,,,,,Object,Object Manupulation,,,,,
Ironstrike Select Perk,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5772425c-e666-4c19-8935-4258410c1200/public,Ironstrike,,Selection,"Controller Pose, Trigger",,,,,,Button,Button Selection,,,,,
Ironstrike Weapon Grip/Block 2 hands,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ba5ef4e3-e9c3-439f-8248-eb8f5750e500/public,Ironstrike,,Manipulation,"Controller Pose, Trigger",,,,,,Object,Object Manupulation,,,,,
Ironstrike Jump,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/99e97221-9694-4832-f35c-7ea0c046d900/public,Ironstrike,,Navigation,[A] Button,,,,,,,,,,,,
Wizards Spell,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/2441a630-c2ee-4137-3eb4-d7cde2c95000/public,War of Wizards: Apprentice Edition,,Draw,"Movement, Trigger, Grip Button",Audio,,,,,,Gesture,,,,,
Wizards Menu Scroll,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3798ae05-7240-4927-e048-756bcc36c100/public,War of Wizards: Apprentice Edition,,Selection,Trigger,,,,,,List,Raycast Selection,,,,,
Wizards Character Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3539f69c-415b-4069-5a62-5d96bb54f200/public,War of Wizards: Apprentice Edition,,Selection,Trigger / Button Press,Haptic Bump,,,,,Button,Raycast Selection,,,,,
First Steps Grab ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a62409aa-2096-4dac-e744-6f7d6ba70d00/public,Oculus First Steps ,,Manipulation,Grip Button,Audio,,,,,Object,Grab and Place,,,,,
First Steps Drop,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/517101eb-17f2-4855-ee14-b9c156d5a400/public,Oculus First Steps ,,Manipulation,Grip Button,Audio,,,,,Object,Grab and Place,,,,,
First Steps Shoot ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fe91dd0d-5ef4-468e-6007-41affa926100/public,Oculus First Steps ,,Aim,Trigger,Audio,,,,,Trigger,Shooting,,,,,
First Steps Pull,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5623276e-701b-4bc4-755d-dd364100d400/public,Oculus First Steps ,,Manipulation,"Grip Button, Movement",Audio,,,,,Object,Object Manipulation,,,,,
First Steps Drive Blimp,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/72578c8c-4775-42ec-0804-b98d991f1000/public,Oculus First Steps ,,Control ,Trigger,Audio,,,,,Trigger,Object Manipulation,,,,,
First Steps Steer Blimp,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b561e05a-5aa7-4e2b-cb86-f9cecdbf5f00/public,Oculus First Steps ,,Control ,Joystick,,,,,,Joystick,Object Manipulation,,,,,
First Steps Punch ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4ea666f7-4981-4670-45a6-afacaa099d00/public,Oculus First Steps ,,Manipulation,"Grip Button, Movement",Audio,,,,,Object,Object Manipulation,,,,,
First Steps Button Press,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/75eef308-171f-4a00-83fc-f6cd4e04f700/public,Oculus First Steps ,,Selection,Controller Pose,Audio,,,,,Object,Button Selection ,,,,,
First Steps Enter World,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e1475d4f-8a36-42f6-ef4a-4f71130d2700/public,Oculus First Steps ,,Navigation,"Grip Button, Movement","Audio, Visual Change ",,,,,Object,World Movement,,,,,
First Steps Leave Worlds ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/bf7a5f6f-b1da-45a8-246e-b248dac28c00/public,Oculus First Steps ,,Navigation,"Grip Button, Movement",Audio,,,,,Object,World Movement,,,,,
Bait Menu Open,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4cc3197f-8d37-47a0-b645-dce57e809500/public,Bait!,,Selection,Trigger,,,,,,Button,Raycast Selection,,,,,
Bait Dialogue Progress,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5e7040a0-302a-4763-0cc1-fbc0da3dc700/public,Bait!,,Selection,"Controller Pose, Trigger",Audio,,,,,Button,Raycast Selection,,,,,
Bait Grab Fishing Rod ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/59d79e3f-6d10-4c25-98d8-9ce93c68b100/public,Bait!,,Manipulation,Grip Button,,,,,,Object,Grab and Place,,,,,
Bait Cast Bobber,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4b3836d4-1350-494d-5a9b-47dec98a4100/public,Bait!,,Manipulation,"Trigger, Movement",Audio,,,,,Object,Object Manipulation,,,,,
Bait Crank Reel Handle,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/794be65a-6f0e-4972-ae1b-30617d378000/public,Bait!,,Manipulation,"Trigger (Left), Movement",Audio,,,,,Object,Object Manipulation,,,,,
Bait Grab Fish ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4ed0b715-312a-45c2-8bad-ae772ccc8400/public,Bait!,,Manipulation,Grip Button,,,,,,Object,Object Manipulation ,,,,,
Bait Change Location,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/668ab1f0-0e63-4a70-d753-461084706a00/public,Bait!,,Navigation,Trigger,,,,,,Button,Button Selection ,,,,,
Bait Buy Item,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b37cfc3a-634e-4b0e-dec7-29985dc1f700/public,Bait!,,Selection,Trigger,,,,,,Object,Button Selection ,,,,,
Bait Fish Menu Scroll ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f343d0c6-2e9a-40a5-4ac2-110749855e00/public,Bait!,,Swipe,Trigger,,,,,,Button,Button Selection ,,,,,
Gorilla Tag Crawl ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/118c87cb-0f46-4990-9daf-8025b5fba700/public,Gorilla Tag,,Navigation,Movement,Audio,,,,,,Gesture,,,,,
Gorilla Tag Climb Ledge ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e2ec9f4e-e52d-462f-bf5e-105e067a9f00/public,Gorilla Tag ,,Navigation,Movement,Audio,,,,,,Gesture,,,,,
Gorilla Tag Climb Ladder,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/49dec243-dad4-4a36-d003-ecbf83a94700/public,Gorilla Tag ,,Navigation,Movement,Audio,,,,,Object,Gesture,,,,,
Gorilla Tag Grab Object,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/79a1d8d8-d515-4a50-6165-6e7df0016a00/public,Gorilla Tag,,Manipulation,Movement,Audio,,,,,Object,Grab and Place,,,,,
Gorilla Tag Slide,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f090c0d2-54f9-427b-47e9-c714063ad600/public,Gorilla Tag,,Navigation,Movement,,,,,,Object,Gesture,,,,,
The Underpresents Break Hands out of Rocks,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b22be91a-0b96-474b-38fc-5fb7dd292000/public,The Underpresents,,Manipulation,Trigger,Audio,,,,,,,,,,,
The Underpresents Put on Glowing Bracelet,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/21e14cdf-9155-4786-d96b-a5dc48b66c00/public,The Underpresents,,Manipulation,Grip,Audio,,,,,,,,,,,
The Underpresents Teleport,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/2a4e044e-dc9a-4dbc-834b-085a4776a900/public,The Underpresents,,Navigation,"[A] Button, Controller Movement (towards user)",Audio,,,,,,,,,,,
The Underpresents Move,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fc5f9dac-86e9-45ff-f6e3-cbe629484900/public,The Underpresents,,Navigation,Left Thumbstick,,,,,,,,,,,,
The Underpresents Roll Carts Out of Way,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/2b28fa6d-1baa-4c6e-f905-45dfbea5c600/public,The Underpresents,,Manipulation,"Grip, Movement",Audio,,,,,,,,,,,
The Underpresents Grab & lift,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/9126e4ea-3ba9-474c-973c-71dc5b700700/public,The Underpresents,,Manipulation,"Grip, Movement",,,,,,,,,,,,
The Underpresents Push Button,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c17bdea3-c0ea-4915-bedd-18595bcf4d00/public,The Underpresents,,Manipulation,Controller Pose,Audio,,,,,,,,,,,
The Underpresents Finger Snapping,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e7b316d8-420a-4264-9715-5ae8ff2e9c00/public,The Underpresents,,,Trigger,"Audio, visual effects",,,,,,,,,,,
The Underpresents Open Door / Interact with Doorknob,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d826fa27-d845-47aa-996a-49f1b864bd00/public,The Underpresents,,Manipulation,"Controller pose, grip, movement",Audio,,,,,,,,,,,
The Underpresents Turn Crank,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c2947186-6455-4669-64f2-c3bfdb9d7900/public,The Underpresents,,Manipulation,"Grip, Movement",Audio,,,,,,,,,,,
The Underpresents Grab item,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f73944eb-44a7-41e2-3612-835ab7c68800/public,The Underpresents,,Manipulation,Grip,Audio,,,,,,,,,,,
The Underpresents Grab Character's Hand,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/01edc259-2549-481e-2e0a-05d7625c3800/public,The Underpresents,,,"Grip, Controller Pose",Audio,,,,,,,,,,,
The Underpresents Rewind Clock Face,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/64cecbb9-f9b8-480d-4a92-b04493900900/public,The Underpresents,,Manipulation,"Controller pose, movement","Audio, light",,,,,,,,,,,
The Underpresents Enter Timeboat,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/33f1b11a-71d0-45d0-52c2-7ab81f9e0700/public,The Underpresents,,Navigation,Controller Pose,Audio,,,,,,,,,,,
The Underpresents Timeboat Grab Item,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/265c23d3-3583-4433-c143-7107cdffb900/public,The Underpresents,,Manipulation,Grip,"Audio, visual representation of item (but not the actual item)",,,,,,,,,,,
The Underpresents Pluck Bottle Out of Ground,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d4afb9cf-00f6-4682-33ba-9dcbe8344e00/public,The Underpresents,,Manipulation,Grip,Audio,,,,,,,,,,,
The Underpresents View Scene Inside Bottle,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/0d4e5972-2ea0-4fb5-d454-eb7730d5fd00/public,The Underpresents,,Manipulation,"Grip, Movement","Audio, viewable masked visual",,,,,,,,,,,
Human Anatomy Menu Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a5bd51b4-2dad-4065-6483-679bc6ab0c00/public,Human Anatomy,,Selection,"Trigger, Controller Pose",Audio,,,,,,,,,,,
Human Anatomy Move,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6035729c-07e8-40f9-dd44-c700d6b29a00/public,Human Anatomy,,Navigation,right thumbstick,,,,,,,,,,,,
Human Anatomy Select Body Location,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/79bbb7a1-b8b5-4082-1af7-9b80821aa400/public,Human Anatomy,,Selection,"Trigger, Controller Pose",,,,,,,,,,,,
Human Anatomy Grab part,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b3c69d67-30b4-45e4-5828-f345f95f3000/public,Human Anatomy,,Manipulation,"Grip, Controller Pose",audio,,,,,,,,,,,
Human Anatomy Return part to body,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c3c62c8e-b315-464c-54a0-472bc43bed00/public,Human Anatomy,,manipulation,"Grip, Controller Pose",audio,,,,,,,,,,,
"Human Anatomy Move body vertically (Thumbstick, 1 controller)",https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6c11a4c4-c312-4476-a2f8-211b82b70700/public,Human Anatomy,,Manipulation,left Thumbstick (up+down),,,,,,,,,,,,
Human Anatomy Rotate Model (Thumbstick),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/15be4ae3-95ac-4836-ac99-c49a8a557300/public,Human Anatomy,,manipulation,left Thumbstick (L+R),,,,,,,,,,,,
Human Anatomy Grab & Scale Part,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7e2872bf-f2ac-4f4f-7624-8e7401136400/public,Human Anatomy,,manipulation,"grip, controller Pose",audio,,,,,,,,,,,
Human Anatomy Open Hand Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/9929ae39-dad9-482a-a452-cf1908345a00/public,Human Anatomy,,,Menu button (left controller),,,,,,,,,,,,
Human Anatomy Select item in hand menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/9675ebf7-876c-4170-6677-5770091f7900/public,Human Anatomy,,Selection,"trigger, controller Pose",,,,,,,,,,,,
Human Anatomy Use Infopanel,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/51f56574-90d3-4caa-397c-cccdde95f900/public,Human Anatomy,,,Controller Pose,Details in infopanel,,,,,,,,,,,
Human Anatomy Place Model in Space,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d594ec70-4577-464c-687d-02a47639a300/public,Human Anatomy,,Manipulation,"Controller pose, trigger",Audio,,,,,,,,,,,
Human Anatomy Move Panel,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/120e9107-b472-4c71-2eb5-ffab4c39ab00/public,Human Anatomy,,Manipulation,"Controller pose, trigger",,,,,,,,,,,,
Human Anatomy Leave Body Region,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/bb208600-eabb-4240-46d2-d6408f5c1e00/public,Human Anatomy,,,"Controller pose, trigger",,,,,,,,,,,,
Human Anatomy Rotate Model (Floor),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/966556ea-0efe-4197-1fc2-6ea2c8b83600/public ,Human Anatomy,,Manipulation,"Controller pose, trigger",,,,,,,,,,,,
Human Anatomy Move Model (Floor),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5f6ab5de-f883-4310-e325-871561595f00/public,Human Anatomy,,Manipulation,"Controller pose, trigger",,,,,,,,,,,,
Human Anatomy Move Model Vertically (2 controllers),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5b2477f6-fd03-4fa5-5b24-b0a39cfa1b00/public,Human Anatomy,,Manipulation,"Controller pose, grip",,,,,,,,,,,,
Human Anatomy Scale Model (2 controllers),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b8d0375c-bec4-47bb-a49f-c6f62f1c2900/public,Human Anatomy,,Manipulation,"Controller pose, grip",,,,,,,,,,,,
Human Anatomy Add/Remove layers of system,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/53bc992c-17a0-4387-723e-2009a8543500/public,Human Anatomy,,,"Controller pose, trigger",audio,,,,,,,,,,,
Human Anatomy Hide Function,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ff5f6a34-6fec-419c-1c70-e4267977bb00/public,Human Anatomy,,,"Controller pose, trigger",,,,,,,,,,,,
Human Anatomy Unhide Hidden Structures / Undo Function,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d63b32f8-d142-4d2d-f2f3-632a3cdf1d00/public,Human Anatomy,,,[B] Button,,,,,,,,,,,,
Human Anatomy Ant Mode Move,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3f59aba9-1415-4633-5eec-e2f638060900/public,Human Anatomy,,navigation,"Controller Pose, right thumbstick",,,,,,,,,,,,
Ironstrike Bow & Arrow Attack,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/503bd628-a61d-41d5-5ead-1a02e18c3a00/public,Ironstrike,,Manipulation,"Grip, Controller Pose",Audio,,,,,,,,,,,
Ironstrike Fire Crossbow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/bbcd5d95-079c-4656-9047-456a18f2df00/public,Ironstrike,,Manipulation,"Grip, Controller Pose, Trigger",Audio,,,,,,,,,,,
Ironstrike Crossbow Fire + Reload Sequence,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4e00341e-d085-4e18-2845-222dae718600/public,Ironstrike,,Manipulation,Controller Movement (reload),Audio,,,,,,,,,,,
Ironstrike Magic Wand Attack Sequence (waving wand + casting spell),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1834f57f-3b44-49db-4247-b10cd81cf300/public,Ironstrike,,Manipulation,"Grip, Controller Pose, Movement, Trigger",Audio,,,,,,,,,,,
Ironstrike Magic Wand Trigger spell sequence,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d6f284bd-72c3-455d-b536-fa2cae192700/public,Ironstrike,,,Trigger,Audio,,,,,,,,,,,
Ironstrike Magic Wand Waving wand,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b3936f73-a9f6-4062-6bfe-b463773b5900/public,Ironstrike,,,Movement,Audio,,,,,,,,,,,
Ironstrike Magic Wand Spell Cast,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f546bcf2-932d-4d2e-5065-e5e0f79ffd00/public,Ironstrike,,,Trigger (release),Audio,,,,,,,,,,,
Derby Baseball Teleport,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/0a6af639-4053-427a-f60f-e5d35033d400/public,Derby Baseball,,Navigation,"Controller pose, thumbstick",,,,,,,,,,,,
Derby Baseball Toggle Ball Machine,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/61be1a51-2dd4-4fe6-f9b6-ddd8ae33b400/public,Derby Baseball,,Manipulation,[X] or [A] button,Audio,,,,,,,,,,,
Derby Baseball Hit Ball,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aba5f5ba-3d1d-43d8-7e74-720a908e6c00/public,Derby Baseball,,Manipulation,Movement,"Audio, red trail",,,,,,,,,,,
Youtube Select Video ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ad4d986f-3da0-4539-c6aa-9fd3d5112500/public,Youtube,,Selection ,Trigger,,,,,,Object,Raycast Selection ,,,,,
Youtube Select Video Type ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/bd527aa7-1b6f-495a-156a-e3d3a77eb500/public,Youtube ,,Selection ,Trigger ,Highlight ,,,,,Button ,Raycast Selection ,,,,,
Youtube Scroll Short,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/0596cbb5-e050-4038-23b5-70f551d78900/public,Youtube ,,Selection ,Trigger ,,,,,,Button ,Raycast Selection ,,,,,
Youtube See Video Info,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/9836b617-7622-4080-f227-3b3fead07000/public,Youtube ,,Selection ,Trigger ,UI Change,,,,,Object,Raycast Selection ,,,,,
Youtube Scroll Comments,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c9f8748a-1ee8-459c-1059-d9dd65161000/public,Youtube ,,Navigation ,Trigger ,,,,,,List ,Raycast Selection ,,,,,
Youtube Pause ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3228e66a-48a5-4a91-728f-80d73c86a200/public,Youtube ,,Manipulation ,Trigger ,,,,,,Button ,Raycast Selection ,,,,,
Youtube Skip Forward,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/16aba7c4-d0bc-496b-f933-2c436793df00/public,Youtube ,,Manipulation ,Trigger ,,,,,,Button ,Raycast Selection ,,,,,
Youtube Volume ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/41a108bb-bc9b-4b61-b823-a95e6d3e0800/public,Youtube ,,Manipulation ,Trigger ,,,,,,Slider ,Raycast Selection ,,,,,
Youtube Environment Mode ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/96393f20-0973-4cda-5eac-695af286b400/public,Youtube ,,Selection ,Trigger ,Visual Change ,,,,,Button ,Raycast Selection ,,,,,
Youtube Search ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/928d0a62-2e82-4659-a775-f0b404e52c00/public,Youtube ,,Navitation ,Trigger ,,,,,,Button ,Raycast Selection ,,,,,
Spatial Piano Play Key,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/97d16349-06b7-408b-78c2-9b4550fb8100/public,Spatial Piano,,Manipulation ,Movement ,Audio ,,,,,Object ,Gesture ,,,,,
Spatial Piano Start Game,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/eded46c6-1e89-42a2-0116-81222210a800/public,Spatial Piano,,Selection ,Trigger ,UI Change ,,,,,Raycast Pointer,Raycast Selection ,,,,,
Spatial Piano Grab Piano ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e1b86578-2b22-4d8b-5b76-72afa3e38300/public,Spatial Piano,,Manipulation ,Movement ,,,,,,Object ,Grab and Place ,,,,,
Spatial Piano Grab Music ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/664454b0-0251-4370-9002-daf416964800/public,Spatial Piano,,Manipulation ,Movement ,,,,,,Handle ,Grab and Place ,,,,,
Spatial Piano Choose Difficulty ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/602814a9-fb5e-4551-4f9d-6616cf10ab00/public,Spatial Piano,,Selection ,Movement ,UI Change ,,,,,Button ,Button Selection ,,,,,
Spatial Piano Turn Page ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/784ad383-431b-4b4e-d5cb-77382e0b6800/public,Spatial Piano,,Manipulation ,Movement ,Visual Change ,,,,,Arrow ,Button Selection ,,,,,
Maestro Start Practice ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/2eb9e0ef-ff6f-4b0e-7a4e-6fe6c1fe7700/public,Maestro (Demo),,Manipulation ,Movement ,"Haptic Bump, Audio ",,,,,,Gesture ,,,,,
Maestro Fermata ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/07618274-5388-4025-5f83-1dcc68ff2400/public,Maestro (Demo),,Manipulation ,"Movement, Trigger ","Haptic Bump, Audio ",,,,,,Gesture ,,,,,
Maestro Dynamics ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/10e62a24-b00d-436c-a5ee-7749b7b89a00/public,Maestro (Demo),,Manipulation ,Movement ,"Haptic Bump, Audio ",,,,,,Gesture ,,,,,
Maestro Keep Time ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3db1fc18-86f1-4412-3c2f-db7827b2c400/public,Maestro (Demo),,Manipulation ,Movement ,"Haptic Bump, Audio ",,,,,,Gesture ,,,,,
Maestro Cue ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/98f390e8-9596-4c16-875f-64c372fe9400/public,Maestro (Demo),,Manipulation ,Movement ,"Haptic Bump, Audio ",,,,,,Gesture ,,,,,
