Title (internal),URL,Application,Task,Input,Feedback,Interface_Element,Interaction_Technique,Link_To_Video(Internal),Assignee
ShapesXR Rotate View,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ac12ddd8-1de7-42c4-d6e4-1e0b94c0fd00/public,ShapesXR,Navigation,"Controller Pose, Movement",,,,,
ShapesXR Zoom In,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/31b24645-6a01-4f3d-3d6d-2d979afeca00/public,ShapesXR,Navigation,"Controller Pose, Trigger",,,,,
ShapesXR Button Click ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6c2d0423-2c78-42d3-2062-a6032f5af000/public,ShapesXR,Selection,"Controller Pose, Trigger",Audio,Button,,,
Archery Pro Menu Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/525ac601-4fa0-4e7c-04ae-e65b2b777d00/public,Archery Pro,Selection,"Controller Pose, Trigger",Audio,Button,Button Selection,,
Archery Pro Grab Bow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/47f41030-a20e-43e7-e7fa-c4c4dce80300/public,Archery Pro,Manipulation,"Controller Pose, Trigger or Grip Button",Audio,Object,Raycast Selection,,
Archery Pro Draw Arrow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/726e6390-35f7-4062-ca1d-2bcdb0285500/public,Archery Pro,Manipulation,"Controller Pose, Trigger or Grip Button","Haptic Bump, Audio",Object,Raycast Selection,,
Archery Pro Menu Scrolling,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/53b2a2a6-fc49-4e4b-e64b-8efd59782100/public,Archery Pro,Swipe,Thumbstick,,List,Move Joystick,,
Archery Pro Menu Scrolling (ver 2),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/14fc52f8-bd5f-49f2-16bc-606cdc2b2000/public,Archery Pro,Swipe,"Controller Pose, Trigger",,List,,,
Roblox Menu Scrolling,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4556b012-63e1-4c32-df67-808411874f00/public,Roblox,Swipe,Thumbstick,,List,Move Joystick,,
Roblox Game Selection (Launches Game),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/446ed009-f819-4d2b-2aa1-f51c92bfe500/public,Roblox,Selection,"Controller Pose, Trigger","Audio, Highlighting, UI change",Button,Button Selection,,
